symbol,date,chg_9am_pct,config,entry_time_ET,entry_px,exit_time_ET,exit_px,exit_reason,pnl_pct,pnl_usd,mfe_pct,mae_pct,hold_sec,spread,short_seg_bars
INTZ,2026-06-30,32.8,+3%,2026-06-30 15:06:19,0.92,15:11:37,0.9159,ATR_FLIP,-0.446,-0.041,0.978,-0.837,318,0.0007,34
INTZ,2026-06-30,32.8,flip_only,2026-06-30 15:06:19,0.92,15:11:37,0.9159,ATR_FLIP,-0.446,-0.041,0.978,-0.837,318,0.0007,34
AVXX,2026-06-30,54.5,+2%,2026-06-30 15:08:15,6.82,15:18:05,6.9564,TARGET,2.0,1.364,3.224,-0.399,590,0.05,7
AVXX,2026-06-30,54.5,+3%,2026-06-30 15:08:15,6.82,15:30:17,6.9,ATR_FLIP,1.173,0.8,3.224,-0.399,1322,0.05,7
AVXX,2026-06-30,54.5,flip_only,2026-06-30 15:08:15,6.82,15:30:17,6.9,ATR_FLIP,1.173,0.8,3.224,-0.399,1322,0.05,7
SVRE,2026-06-30,146.0,+2%,2026-06-30 15:12:59,2.45,15:23:05,2.499,TARGET,2.0,0.49,13.061,-0.816,605,0.02,
SVRE,2026-06-30,146.0,+3%,2026-06-30 15:12:59,2.45,15:26:36,2.5235,TARGET,3.0,0.735,13.061,-0.816,816,0.02,
SVRE,2026-06-30,146.0,flip_only,2026-06-30 15:12:59,2.45,16:00:00,2.63,EOD,7.347,1.8,13.061,-0.816,2820,0.02,
CELZ,2026-06-30,138.2,+2%,2026-06-30 15:30:06,1.54,15:54:23,1.4,ATR_FLIP,-9.091,-1.4,1.948,-9.091,1456,0.01,7
CELZ,2026-06-30,138.2,+3%,2026-06-30 15:30:06,1.54,15:54:23,1.4,ATR_FLIP,-9.091,-1.4,1.948,-9.091,1456,0.01,7
CELZ,2026-06-30,138.2,flip_only,2026-06-30 15:30:06,1.54,15:54:23,1.4,ATR_FLIP,-9.091,-1.4,1.948,-9.091,1456,0.01,7
AVXX,2026-06-30,54.5,+2%,2026-06-30 15:37:51,7.04,15:50:01,6.9,ATR_FLIP,-1.989,-1.4,0.568,-1.989,730,0.03,10
AVXX,2026-06-30,54.5,+3%,2026-06-30 15:37:51,7.04,15:50:01,6.9,ATR_FLIP,-1.989,-1.4,0.568,-1.989,730,0.03,10
AVXX,2026-06-30,54.5,flip_only,2026-06-30 15:37:51,7.04,15:50:01,6.9,ATR_FLIP,-1.989,-1.4,0.568,-1.989,730,0.03,10
INTZ,2026-06-30,32.8,+2%,2026-06-30 15:45:45,0.925,16:00:00,0.9301,EOD,0.551,0.051,1.405,-1.719,854,0.0158,
INTZ,2026-06-30,32.8,+3%,2026-06-30 15:45:45,0.925,16:00:00,0.9301,EOD,0.551,0.051,1.405,-1.719,854,0.0158,
INTZ,2026-06-30,32.8,flip_only,2026-06-30 15:45:45,0.925,16:00:00,0.9301,EOD,0.551,0.051,1.405,-1.719,854,0.0158,
EHGO,2026-07-01,82.3,+2%,2026-07-01 09:37:18,2.43,09:37:22,2.4786,TARGET,2.0,0.486,20.576,-5.753,3,0.02,32
EHGO,2026-07-01,82.3,+3%,2026-07-01 09:37:18,2.43,09:37:22,2.5029,TARGET,3.0,0.729,20.576,-5.753,3,0.02,32
EHGO,2026-07-01,82.3,flip_only,2026-07-01 09:37:18,2.43,09:50:49,2.29,ATR_FLIP,-5.761,-1.4,20.576,-5.753,810,0.02,32
