day,symbol,break_number,opening_high,break_minute_et,atr_0930,atr_entry,body_pct,volume_ratio,macd_bullish,rsi_bullish,stoch_bullish,red_0925_0929,efficiency,reversals,status,reasons,qualification
2026-08-28,QNRX,7,7.48000000,09:50,LONG,LONG,0.2728571428571428571428571429,0.7449191622192343169398248005,False,False,False,3,0.6487576427735137244698842201,2,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,8,7.48000000,09:51,LONG,LONG,0.2272727272727272727272727273,0.3252717794417576710285227701,False,False,False,3,0.2079002079002079002079002079,2,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,9,7.48000000,09:55,LONG,LONG,0.6305882352941176470588235294,0.2342672456669928215775889978,False,False,False,3,0.02270121531758770924099977069,3,REJECT,R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,10,7.48000000,09:56,LONG,LONG,0.488,0.6911151539919071264390453659,False,False,False,3,0.1494845360824742268041237113,3,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,1,6.91000000,09:30,LONG,LONG,0.53,16.52326779583784259609260515,True,True,True,1,0.4929577464788732394366197183,1,PASS,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,RDHL,1,1.42000000,09:30,LONG,LONG,0.35,7.630284229664554367946423661,False,True,True,2,0.1304347826086956521739130435,2,REJECT,R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,1,2.48000000,09:30,SHORT,SHORT,0.4859919954259576901086335049,7.350109745765815475739959910,False,True,True,3,0.05263157894736842105263157895,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,2,6.91000000,09:31,LONG,LONG,0.3983107357190486774838853078,6.412073667794801017472931232,True,True,True,1,0.8695652173913043478260869565,1,REJECT,R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,3,6.91000000,09:32,LONG,LONG,0.1736734693877551020408163265,6.295981177730345424194998538,True,False,False,1,0.6380952380952380952380952381,2,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,2,2.48000000,09:34,SHORT,LONG,0.6111111111111111111111111111,8.651177961813075460068257749,True,True,False,3,0.4444444444444444444444444444,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,4,6.91000000,09:35,LONG,LONG,0.8036986301369863013698630137,3.968115127177575394335810135,False,False,False,1,0.3865747502482911725185488111,2,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,RDHL,2,1.42000000,09:35,LONG,LONG,0.9635294117647058823529411765,7.491395114603948020996870688,True,True,True,2,0.9989200863930885529157667387,1,PASS,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,3,2.48000000,09:35,SHORT,LONG,0.6470588235294117647058823529,7.590988395940228224733620820,False,False,False,3,0.1136493432324386065105653912,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,4,2.48000000,09:37,SHORT,LONG,0.35,1.431375111497146300805747004,False,True,False,3,0.06041131105398457583547557841,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,5,2.48000000,09:38,SHORT,LONG,0.1428571428571428571428571429,1.304538705097036792835338704,True,True,False,3,0.5,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,6,2.48000000,09:39,SHORT,LONG,0.375,0.9921548560952216876701902531,True,True,True,3,0.3076923076923076923076923077,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,7,2.48000000,09:40,SHORT,LONG,0.417,1.266253080649273391688620719,False,False,False,3,0.4542343883661248930710008554,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,8,2.48000000,09:41,SHORT,LONG,0.2,0.8633983069768145886074751855,False,False,False,3,0.09090909090909090909090909091,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,RDHL,3,1.42000000,09:42,LONG,LONG,0.9655172413793103448275862069,1.413570217350917388431644544,False,False,False,2,0.03797468354430379746835443038,1,UNANSWERABLE,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R6 CHOPPY; UNANSWERABLE HALT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,9,2.48000000,09:42,SHORT,LONG,0.7142857142857142857142857143,0.6624660983006236768324083081,True,True,True,3,0.1724137931034482758620689655,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,10,2.48000000,09:44,SHORT,LONG,0.585,0.6003674247609614839119708292,False,False,False,3,0.04821802935010482180293501048,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,11,2.48000000,09:45,SHORT,LONG,0.15,0.9412822694514328943204429485,False,False,True,3,0.1538461538461538461538461538,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,BIAF,1,7.98000000,09:30,LONG,LONG,0.1312824408152930750727940246,8.890945908195031153681721579,False,False,False,1,0.3536379018612521150592216582,3,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,BIAF,2,7.98000000,09:31,LONG,LONG,0.1909375,5.735726488286308092403782331,False,False,False,1,0.1209631186699789795528377604,2,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,LIDR,1,1.61000000,09:34,SHORT,SHORT,0.5,3.824861062461406239279510911,True,True,True,3,1,0,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,LIDR,2,1.61000000,09:35,SHORT,SHORT,0.3016270337922403003754693367,1.956409097127829903775378622,True,False,False,3,0.5952980688497061293031066331,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,BIAF,3,7.98000000,09:36,LONG,LONG,0.6346753246753246753246753247,3.007887433373442461021841281,True,True,True,1,0.6752681936793273412583357495,1,PASS,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,SSM,1,3.90000000,09:37,SHORT,LONG,0.9130434782608695652173913043,8.474925707898940086771663652,True,True,True,3,1,0,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,BIAF,4,7.98000000,09:38,LONG,LONG,0.5268456375838926174496644295,3.273437749986240757308717728,False,False,False,1,0.04516910873636664096066982483,1,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,SSM,2,3.90000000,09:38,SHORT,LONG,,6.821273615661399512191195293,True,True,False,3,1,0,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,SSM,3,3.90000000,09:51,SHORT,LONG,0.7884615384615384615384615385,2.155694508203806983271867773,False,False,False,3,0.6942392909896602658788774003,3,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,SSM,4,3.90000000,09:52,SHORT,LONG,0.3158823529411764705882352941,1.152968736167575776147963527,False,False,False,3,0.7206720672067206720672067207,3,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-02,PPBT,1,2.46000000,09:30,LONG,LONG,0.06666666666666666666666666667,10.02678926249081234679917988,True,False,False,2,0.5,1,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-02,VIVK,1,1.11000000,09:30,LONG,LONG,0.5,,False,False,True,2,0.1578947368421052631578947368,1,UNANSWERABLE,UNANSWERABLE STACK_WARMUP; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-02,PPBT,2,2.46000000,09:31,LONG,LONG,0.2857142857142857142857142857,4.230636642720947524160482343,False,False,False,2,0.6,1,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-02,VIVK,2,1.11000000,09:31,LONG,LONG,0.335,,False,False,False,2,0.0009082652134423251589464123524,2,UNANSWERABLE,R2 RED_BREAK_BAR; UNANSWERABLE STACK_WARMUP; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-02,PPBT,3,2.46000000,09:32,LONG,LONG,0.7380952380952380952380952381,6.312140178269484070605033671,True,True,True,2,0.6097560975609756097560975610,1,PASS,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-02,PPBT,4,2.46000000,09:33,LONG,LONG,0.2857142857142857142857142857,5.349857262965605685716874776,True,True,True,2,0.6666666666666666666666666667,1,REJECT,R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
