day,symbol,group,entry_time_et,entry_price,entry_source,first_five_at_et,first_five_bid,pullback_reference_bid,pullback_started_at_et,pullback_giveback_points,pullback_giveback_pct,pullback_trough_at_et,recovered_at_et,pullback_duration_seconds,came_back,halt_count,gradable,gradability_reason,rule,armed_at_et,exit_at_et,exit_price,return_pct,flat_return_pct,difference_vs_flat,price_at_1000,price_at_1000_time_et,qualification
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,09:30:58,6.690000,6.770000,09:30:58,7.378335949764521193092621700,-6.942392909896602658788774000,09:31:24,09:31:41,43.157814,True,0,True,,MINUTE_CLOSE-F3-T3,09:32:00,09:32:22,6.780000,6.436420722135007849293563600,5.023547880690737833594976500,1.412872841444270015698587100,6.140000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,09:30:58,6.690000,6.770000,09:30:58,7.378335949764521193092621700,-6.942392909896602658788774000,09:31:24,09:31:41,43.157814,True,0,True,,MINUTE_CLOSE-F4-T5,09:32:00,09:32:49,7.060000,10.83202511773940345368916800,5.023547880690737833594976500,5.808477237048665620094191500,6.140000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,09:30:58,6.690000,6.770000,09:30:58,7.378335949764521193092621700,-6.942392909896602658788774000,09:31:24,09:31:41,43.157814,True,0,True,,MINUTE_CLOSE-F4-T3,09:32:00,09:32:22,6.780000,6.436420722135007849293563600,5.023547880690737833594976500,1.412872841444270015698587100,6.140000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,7.620000,7.620000,09:30:19,0.137931034482758620689655200,-0.1312335958005249343832021000,09:30:19,09:30:19,0.002391,True,0,True,,TOUCH-F3-T5,09:30:19,09:30:20,7.460000,2.896551724137931034482758600,5.103448275862068965517241400,-2.206896551724137931034482800,7.240000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,7.620000,7.620000,09:30:19,0.137931034482758620689655200,-0.1312335958005249343832021000,09:30:19,09:30:19,0.002391,True,0,True,,TOUCH-F3-T3,09:30:19,09:30:20,7.460000,2.896551724137931034482758600,5.103448275862068965517241400,-2.206896551724137931034482800,7.240000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,7.620000,7.620000,09:30:19,0.137931034482758620689655200,-0.1312335958005249343832021000,09:30:19,09:30:19,0.002391,True,0,True,,TOUCH-F4-T5,09:30:19,09:30:20,7.540000,4.0000,5.103448275862068965517241400,-1.103448275862068965517241400,7.240000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,7.620000,7.620000,09:30:19,0.137931034482758620689655200,-0.1312335958005249343832021000,09:30:19,09:30:19,0.002391,True,0,True,,TOUCH-F4-T3,09:30:19,09:30:20,7.540000,4.0000,5.103448275862068965517241400,-1.103448275862068965517241400,7.240000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,7.620000,7.620000,09:30:19,0.137931034482758620689655200,-0.1312335958005249343832021000,09:30:19,09:30:19,0.002391,True,0,True,,MINUTE_CLOSE-F3-T5,09:34:00,09:35:51,7.730000,6.620689655172413793103448300,5.103448275862068965517241400,1.517241379310344827586206900,7.240000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,7.620000,7.620000,09:30:19,0.137931034482758620689655200,-0.1312335958005249343832021000,09:30:19,09:30:19,0.002391,True,0,True,,MINUTE_CLOSE-F3-T3,09:34:00,09:34:44,7.530000,3.862068965517241379310344800,5.103448275862068965517241400,-1.241379310344827586206896600,7.240000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,7.620000,7.620000,09:30:19,0.137931034482758620689655200,-0.1312335958005249343832021000,09:30:19,09:30:19,0.002391,True,0,True,,MINUTE_CLOSE-F4-T5,09:34:00,09:34:43,7.540000,4.0000,5.103448275862068965517241400,-1.103448275862068965517241400,7.240000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,PRIMARY,09:30:10,7.25,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,7.620000,7.620000,09:30:19,0.137931034482758620689655200,-0.1312335958005249343832021000,09:30:19,09:30:19,0.002391,True,0,True,,MINUTE_CLOSE-F4-T3,09:34:00,09:34:43,7.540000,4.0000,5.103448275862068965517241400,-1.103448275862068965517241400,7.240000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,09:30:35,7.110000,7.120000,09:30:35,0.147928994082840236686390600,-0.1404494382022471910112359600,09:30:35,09:30:35,0.008331,True,1,True,,TOUCH-F3-T5,09:30:35,09:30:42,6.950000,2.810650887573964497041420100,5.177514792899408284023668600,-2.366863905325443786982248500,6.090000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,09:30:35,7.110000,7.120000,09:30:35,0.147928994082840236686390600,-0.1404494382022471910112359600,09:30:35,09:30:35,0.008331,True,1,True,,TOUCH-F3-T3,09:30:35,09:30:42,7.030000,3.994082840236686390532544400,5.177514792899408284023668600,-1.183431952662721893491124200,6.090000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,09:30:35,7.110000,7.120000,09:30:35,0.147928994082840236686390600,-0.1404494382022471910112359600,09:30:35,09:30:35,0.008331,True,1,True,,TOUCH-F4-T5,09:30:35,09:30:36,7.030000,3.994082840236686390532544400,5.177514792899408284023668600,-1.183431952662721893491124200,6.090000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
