session_day_et,symbol,entry_ts,entry_slot,entry_mode,entry_px,won,ret_pct,first_bid_ret_pct,future_mfe_pct,future_mae_pct,future_reached_plus_1,future_reached_plus_2,future_reached_plus_5,mae_before_plus_1_pct,mae_before_plus_2_pct,mae_before_plus_5_pct,seconds_to_plus_1,seconds_to_plus_2,seconds_to_plus_5,log_entry_price,spread_pct,minutes_since_0700,scanner_age_min,confirm_rank_score,log_confirm_day_volume,log_float_used,confirm_change_pct,vwap_dist_pct,macd_pct,histogram_pct,macd_delta_pct,macd_increasing,macd_above_signal,poly_volume_ratio_20,poly_volume_5_vs_prev_5,schwab_volume_ratio_5,is_reclaim,is_reactive,entry_sequence
2026-08-26,YYGH,2026-08-26T13:43:03.756000+00:00,reclaim,resting,2.0,True,1.0000000000000009,-0.5000000000000004,6.499999999999995,-11.5,True,True,True,-0.5000000000000004,-0.5000000000000004,-11.5,0.114045,0.217412,22460.999177,0.47712125471966244,0.5000000000000004,163.0626,333.1292666666667,60.0,6.474226611237628,6.50538945283357,68.696,4.647264602694514,0.6471382432766299,0.3927504832035192,0.11780604052695584,1.0,1.0,0.8391453964029795,0.7316626467127952,3.1092197498075667,1.0,0.0,3.0
2026-08-26,YYGH,2026-08-26T14:31:02.498000+00:00,first,resting,1.94,False,-2.061855670103095,-0.5154639175257737,9.793814432989688,-4.639175257731951,True,True,True,-2.061855670103095,-2.061855670103095,-3.092783505154642,275.558861,275.587367,3642.452501,0.46834733041215726,0.5154639175257737,211.04163333333332,381.1083,60.0,6.474226611237628,6.50538945283357,68.696,2.3836452939339074,0.5234094771970197,0.24041813095098727,0.0898770750509401,1.0,1.0,1.4446251939941288,1.6774913093858632,2.5509606788202506,0.0,0.0,4.0
2026-08-26,YYGH,2026-08-26T14:35:00.224000+00:00,reclaim,resting,1.95,True,1.0000000000000038,-0.5128205128205132,9.230769230769226,-5.1282051282051215,True,True,True,-1.0256410256410264,-1.0256410256410264,-3.589743589743593,37.846769,188.745441,3417.137632,0.46982201597816303,0.5128205128205132,215.00373333333334,385.07039999999995,60.0,6.474226611237628,6.50538945283357,68.696,2.7945992809273377,0.877890100826814,0.15004521384690883,0.060151808499774126,1.0,1.0,0.8028140845401819,0.7121297067615755,1.7935243498164357,1.0,0.0,5.0
2026-08-26,YYGH,2026-08-26T17:23:41.368000+00:00,first,resting,1.93,True,1.0000000000000049,-0.5181347150259072,10.362694300518132,-1.5544041450777215,True,True,True,-1.5544041450777215,-1.5544041450777215,-1.5544041450777215,1894.076403,3752.578851,4416.4651,0.46686762035410945,0.5181347150259072,383.68946666666665,553.7561333333334,60.0,6.474226611237628,6.50538945283357,68.696,-0.510795988270339,0.2056497107183191,0.17354105140379622,0.06899701552671299,1.0,1.0,1.6949806019422153,5.039313317479191,3.4979781296275205,0.0,0.0,6.0
2026-08-26,YYGH,2026-08-26T18:26:11.618000+00:00,reclaim,resting,1.97,True,1.0000000000000027,-0.5076142131979701,8.121827411167509,-3.55329949238579,True,True,True,-0.5076142131979701,-0.5076142131979701,-3.55329949238579,21.191622,70.358317,5010.835406,0.47275644931721233,0.5076142131979701,446.1936333333333,616.2603,60.0,6.474226611237628,6.50538945283357,68.696,1.561436527909779,0.016355451241863665,0.032575738777287463,0.06299644324257529,1.0,1.0,2.9193207558643337,2.021214896214896,10.247491638795987,1.0,0.0,7.0
2026-08-26,YYGH,2026-08-26T19:47:06.734000+00:00,reclaim,resting,1.99,True,1.0000000000000013,-0.5025125628140708,7.035175879396981,-1.0050251256281415,True,True,True,-1.0050251256281415,-1.0050251256281415,-1.0050251256281415,129.271825,142.943672,618.007717,0.4756711883244297,0.5025125628140708,527.1122333333334,697.1789,60.0,6.474226611237628,6.50538945283357,68.696,2.3565639280261284,0.26638967118036494,-0.026812630358865316,-0.005442430506646172,0.0,0.0,0.3947246665462253,2.4889930926040322,1.7178083849938182,1.0,0.0,8.0
2026-08-27,CELU,2026-08-27T16:35:28.976000+00:00,first,resting,2.01,True,1.0000000000000115,-0.4975124378109347,14.427860696517417,-3.980099502487555,True,True,True,-0.9950248756218805,-0.9950248756218805,-0.9950248756218805,52.971573,53.008183,781.618497,0.47856649559384334,0.4975124378109347,335.48293333333334,129.78293333333332,40.0,7.439530971110823,7.461587987634002,39.823,8.179578100579493,0.5221033311640538,0.1718863883091492,0.146869726034646,1.0,1.0,2.0516417462461396,1.6512873236016645,3.1416458572130344,0.0,0.0,1.0
2026-08-27,CELU,2026-08-27T16:39:21.672000+00:00,reclaim,resting,2.08,True,0.9999999999999966,-0.4807692307692419,10.576923076923064,-7.211538461538468,True,True,True,-0.4807692307692419,-2.4038461538461666,-2.4038461538461666,31.031745,563.599382,653.977545,0.48855071650044424,0.4807692307692419,339.3612,133.66119999999998,40.0,7.439530971110823,7.461587987634002,39.823,11.782824130676953,1.597620174824364,0.3331755766750044,-0.028292043799296132,0.0,1.0,1.2823954927600487,0.8249606787269143,1.506694752391378,1.0,0.0,2.0
2026-08-27,CELU,2026-08-27T18:15:59.508000+00:00,first,resting,2.13,False,-2.3474178403755785,-0.4694835680751074,7.981220657276992,-8.45070422535211,True,True,True,-3.2863849765258144,-3.2863849765258144,-3.2863849765258144,90.451505,103.513948,115.891479,0.49554433754644844,0.4694835680751074,435.9918,230.2918,40.0,7.439530971110823,7.461587987634002,39.823,12.805913614011033,0.5299904463725381,0.24147328598947154,0.15469023759676784,1.0,1.0,5.040198791399993,1.6978196914042065,4.233503973288016,0.0,0.0,3.0
2026-08-27,CELU,2026-08-27T18:20:00.020000+00:00,reclaim,resting,2.28,False,-2.192982456140343,-0.8771929824561412,0.8771929824561412,-14.473684210526311,False,False,False,,,,,,,0.515873843711679,0.4385964912280609,440.00033333333334,234.30033333333333,40.0,7.439530971110823,7.461587987634002,39.823,20.344081098531277,2.3253599420535362,0.7740371107721128,0.3376678570307227,1.0,1.0,1.8677815638879767,1.5020489097952912,1.0642949488867357,1.0,0.0,4.0
