Day,Path,Symbol,EntryTime,EntryPrice,ExitTime,ExitPrice,Shares,ExitReason,PnL$,PnL%,CumTradePnL$
2026-06-10,"P3-B(touch,vol>5k)",DSY,12:44,8.1976,12:45,8.3206,5,floor+1.50% *AMBIG,0.615,1.5,1.435
2026-06-10,"P3-B(touch,vol>5k)",DSY,15:11,9.0826,15:12,9.2643,5,scale+2% *AMBIG,0.9085,2.001,0.9085
2026-06-10,"P3-B(touch,vol>5k)",DSY,15:11,9.0826,15:12,9.128,5,floor+0.50% *AMBIG,0.227,0.5,1.1355
2026-06-10,"P3-B(touch,vol>5k)",DSY,17:16,5.3824,17:17,5.5977,7,scale+4% *AMBIG,1.5071,4.0,1.5071
2026-06-10,"P3-B(touch,vol>5k)",DSY,17:16,5.3824,17:17,5.6893,3,floor+5.70% *AMBIG,0.9207,5.702,2.4278
2026-06-10,"P3-B(touch,vol>5k)",CIIT,08:17,3.5879,08:18,3.5341,10,hard-stop,-0.538,-1.499,-0.538
2026-06-10,"P3-B(touch,vol>5k)",CIIT,09:32,3.4529,09:37,3.591,7,scale+4% *AMBIG,0.9667,4.0,0.9667
2026-06-10,"P3-B(touch,vol>5k)",CIIT,09:32,3.4529,09:37,3.8982,3,floor+12.90% *AMBIG,1.3359,12.896,2.3026
2026-06-10,"P3-B(touch,vol>5k)",CIIT,10:54,3.1742,10:55,3.3012,7,scale+4% *AMBIG,0.889,4.001,0.889
2026-06-10,"P3-B(touch,vol>5k)",CIIT,10:54,3.1742,10:55,3.372,3,floor+6.23% *AMBIG,0.5934,6.231,1.4824
2026-06-10,"P3-B(touch,vol>5k)",CIIT,13:20,1.9329,13:21,1.9716,5,scale+2%,0.1935,2.002,0.1935
2026-06-10,"P3-B(touch,vol>5k)",CIIT,13:20,1.9329,13:21,1.9619,5,floor+1.50%,0.145,1.5,0.3385
2026-06-10,"P3-B(touch,vol>5k)",CIIT,13:51,2.2034,13:52,2.2034,10,floor@BE *AMBIG,0.0,0.0,0.0
2026-06-10,"P3-B(touch,vol>5k)",CIIT,15:19,2.0023,15:20,2.0824,7,scale+4%,0.5607,4.0,0.5607
2026-06-10,"P3-B(touch,vol>5k)",CIIT,15:19,2.0023,15:20,2.09,3,floor+4.38%,0.2631,4.38,0.8238
2026-06-10,"P3-B(touch,vol>5k)",CIIT,16:37,1.501,16:38,1.4785,10,hard-stop,-0.225,-1.499,-0.225
2026-06-10,"P3-B(touch,vol>5k)",CIIT,17:38,1.5451,17:39,1.6069,7,scale+4%,0.4326,4.0,0.4326
2026-06-10,"P3-B(touch,vol>5k)",CIIT,17:38,1.5451,17:39,1.6688,3,floor+8.01%,0.3711,8.006,0.8037
2026-06-10,P1-MACD Cross,CIIT,09:37,3.81,09:38,3.9624,7,scale+4% *AMBIG,1.0668,4.0,1.0668
2026-06-10,P1-MACD Cross,CIIT,09:37,3.81,09:38,4.2428,3,floor+11.36% *AMBIG,1.2984,11.36,2.3652
2026-06-10,P2-VWAP Breakout,CIIT,09:00,4.03,09:01,4.03,10,floor@BE *AMBIG,0.0,0.0,0.0
2026-06-10,"P3-B(touch,vol>5k)",DAIC,08:50,1.8739,08:51,1.8458,10,hard-stop,-0.281,-1.5,-0.281
2026-06-10,"P3-B(touch,vol>5k)",DAIC,10:57,1.7076,11:05,1.682,10,hard-stop,-0.256,-1.499,-0.256
2026-06-10,"P3-B(touch,vol>5k)",DAIC,12:25,1.8441,12:37,1.881,5,scale+2%,0.1845,2.001,0.1845
2026-06-10,"P3-B(touch,vol>5k)",DAIC,12:25,1.8441,12:37,1.86,5,tier-macd,0.0795,0.862,0.264
2026-06-10,"P3-B(touch,vol>5k)",DAIC,16:00,1.9029,16:01,1.979,7,scale+4% *AMBIG,0.5327,3.999,0.5327
2026-06-10,"P3-B(touch,vol>5k)",DAIC,16:00,1.9029,16:01,2.0715,3,floor+8.86% *AMBIG,0.5058,8.86,1.0385
2026-06-10,"P3-B(touch,vol>5k)",DAIC,18:00,2.2,18:01,2.244,5,scale+2% *AMBIG,0.22,2.0,0.22
2026-06-10,"P3-B(touch,vol>5k)",DAIC,18:00,2.2,18:01,2.211,5,floor+0.50% *AMBIG,0.055,0.5,0.275
2026-06-10,P2-VWAP Breakout,DAIC,08:03,3.8274,08:04,3.8274,10,floor@BE *AMBIG,0.0,0.0,0.0
2026-06-10,"P3-B(touch,vol>5k)",BATL,09:02,1.3894,09:14,1.39,10,tier-macd,0.006,0.043,0.006
2026-06-10,"P3-B(touch,vol>5k)",BATL,09:51,1.3807,10:01,1.375,10,tier-macd,-0.057,-0.413,-0.057
2026-06-10,"P3-B(touch,vol>5k)",BATL,11:06,1.5609,11:08,1.5609,10,floor@BE,0.0,0.0,0.0
2026-06-10,"P3-B(touch,vol>5k)",BATL,11:48,1.6104,11:49,1.6748,7,scale+4% *AMBIG,0.4508,3.999,0.4508
2026-06-10,"P3-B(touch,vol>5k)",BATL,11:48,1.6104,11:49,1.6658,3,floor+3.44% *AMBIG,0.1662,3.44,0.617
2026-06-10,"P3-B(touch,vol>5k)",BATL,13:11,2.1634,13:12,2.1309,10,hard-stop,-0.325,-1.502,-0.325
2026-06-10,"P3-B(touch,vol>5k)",BATL,16:23,2.1067,16:24,2.0751,10,hard-stop,-0.316,-1.5,-0.316
2026-06-10,"P3-B(touch,vol>5k)",BATL,17:56,2.2182,17:59,2.2626,5,scale+2%,0.222,2.002,0.222
2026-06-10,"P3-B(touch,vol>5k)",BATL,17:56,2.2182,17:59,2.2293,5,floor+0.50%,0.0555,0.5,0.2775
2026-06-10,"P3-B(touch,vol>5k)",BATL,18:38,2.217,18:39,2.2613,5,scale+2% *AMBIG,0.2215,1.998,0.2215
2026-06-10,"P3-B(touch,vol>5k)",BATL,18:38,2.217,18:39,2.2281,5,floor+0.50% *AMBIG,0.0555,0.501,0.277
2026-06-10,P1-MACD Cross,BATL,10:05,1.395,10:12,1.4229,5,scale+2% *AMBIG,0.1395,2.0,0.1395
2026-06-10,P1-MACD Cross,BATL,10:05,1.395,10:12,1.402,5,floor+0.50% *AMBIG,0.035,0.502,0.1745
2026-06-10,P1-MACD Cross,BATL,11:48,1.66,11:49,1.66,10,floor@BE *AMBIG,0.0,0.0,0.0
2026-06-10,P1-MACD Cross,BATL,12:14,1.885,12:15,1.9604,7,scale+4%,0.5278,4.0,0.5278
2026-06-10,P1-MACD Cross,BATL,12:14,1.885,12:15,1.9417,3,floor+3.01%,0.1701,3.008,0.6979
2026-06-10,P1-MACD Cross,BATL,12:19,1.93,12:20,1.9686,5,scale+2% *AMBIG,0.193,2.0,0.193
2026-06-10,P1-MACD Cross,BATL,12:19,1.93,12:20,1.9589,5,floor+1.50% *AMBIG,0.1445,1.497,0.3375
2026-06-10,P1-MACD Cross,BATL,15:01,2.1689,15:02,2.2123,5,scale+2% *AMBIG,0.217,2.001,0.217
2026-06-10,P1-MACD Cross,BATL,15:01,2.1689,15:02,2.1797,5,floor+0.50% *AMBIG,0.054,0.498,0.271
2026-06-10,P1-MACD Cross,BATL,15:19,2.31,15:20,2.31,10,floor@BE *AMBIG,0.0,0.0,0.0
2026-06-10,P1-MACD Cross,BATL,15:28,2.395,15:29,2.395,10,floor@BE,0.0,0.0,0.0
2026-06-10,P1-MACD Cross,BATL,17:07,2.3,17:08,2.3,10,floor@BE,0.0,0.0,0.0
2026-06-10,P1-MACD Cross,BATL,18:38,2.22,18:39,2.2644,5,scale+2% *AMBIG,0.222,2.0,0.222
2026-06-10,P1-MACD Cross,BATL,18:38,2.22,18:39,2.2311,5,floor+0.50% *AMBIG,0.0555,0.5,0.2775
2026-06-10,P2-VWAP Breakout,BATL,14:33,2.0966,14:34,2.0652,10,hard-stop,-0.314,-1.498,-0.314
2026-06-10,P2-VWAP Breakout,BATL,14:35,2.1499,14:36,2.1177,10,hard-stop,-0.322,-1.498,-0.322
2026-06-10,P2-VWAP Breakout,BATL,16:45,2.15,16:46,2.193,5,scale+2% *AMBIG,0.215,2.0,0.215
2026-06-10,P2-VWAP Breakout,BATL,16:45,2.15,16:46,2.1607,5,floor+0.50% *AMBIG,0.0535,0.498,0.2685
2026-06-10,"P3-B(touch,vol>5k)",CNET,11:58,0.8203,11:59,0.8531,7,scale+4%,0.2296,3.999,0.2296
2026-06-10,"P3-B(touch,vol>5k)",CNET,11:58,0.8203,11:59,0.9477,3,floor+15.53%,0.3822,15.531,0.6118
2026-06-10,"P3-B(touch,vol>5k)",CNET,14:17,1.0919,14:18,1.1356,7,scale+4% *AMBIG,0.3059,4.002,0.3059
2026-06-10,"P3-B(touch,vol>5k)",CNET,14:17,1.0919,14:18,1.2836,3,floor+17.56% *AMBIG,0.5751,17.557,0.881
2026-06-10,P1-MACD Cross,CNET,14:16,1.07,14:17,1.1128,7,scale+4%,0.2996,4.0,0.2996
2026-06-10,P1-MACD Cross,CNET,14:16,1.07,14:17,1.184,3,floor+10.65%,0.342,10.654,0.6416
