event,date_et,symbol,entry_time_et,broker,fill_id,fill_price,duplicate_webull_fill,max_up_pct,max_up_elapsed_minutes,max_down_pct,max_down_elapsed_minutes,boundary_kind,exit_time_et,exit_price,exit_trigger,missing_bars
68,2026-08-31,NCRA,Webull: 15:51:11.606,Webull,Webull: 36b9341f-2cf5-4fc9-829d-4b0b59ade74d,Webull: 2.8700,no,Webull: +3.4843,Webull: 6.290,Webull: -3.1359,Webull: 0.527,Webull: 16:00 cutoff,Webull: 16:00:00.000,Webull: 2.8600 mark,Webull: still open at 16:00,Webull: none
69,2026-09-01,SSM,Webull: 08:50:52.735,Webull,Webull: 98274018-8947-495e-970a-f6723ca222f7,Webull: 3.7700,no,Webull: +3.1830,Webull: 36.147,Webull: -1.8568,Webull: 10.603,Webull: actual exit,Webull: 09:27:07.854,Webull: 3.8400,Webull: CW_FLOOR,Webull: none
70,2026-09-01,BIAF,Webull: 09:00:31.389,Webull,Webull: 7dc86611-279e-4cfe-bc8e-5aa24b8cff7c,Webull: 6.7200,no,Webull: +2.0833,Webull: 7.353,Webull: -4.4643,Webull: 3.395,Webull: actual exit,Webull: 09:07:54.146,Webull: 6.8500,Webull: CW_FLOOR,Webull: none
71,2026-09-01,FLYE,Schwab: 09:31:46.000,Schwab,Schwab: 4bdbaeb2-3601-474e-a827-e0f7172a20d1,Schwab: 1.8399,no,Schwab: +1.0925,Schwab: 0.679,Schwab: -2.7121,Schwab: 0.011,Schwab: actual exit,Schwab: 09:32:27.000,Schwab: 1.8700,Schwab: native OCO target,Schwab: none
72,2026-09-01,LIDR,Schwab: 09:34:44.000; Webull: 09:34:44.623,Schwab+Webull,Schwab: 06c37b38-a4eb-4ff7-90b1-6f38d3d279d2; Webull: cae4006f-a7e4-4721-9c9a-9fe20d9b76d7,Schwab: 1.6300; Webull: 1.6400,no,Schwab: +0.6135; Webull: +0.0000,Schwab: 0.099; Webull: 0.089,Schwab: -3.6810; Webull: -4.2683,Schwab: 0.522; Webull: 0.512,Schwab: actual exit; Webull: actual exit,Schwab: 09:35:20.000; Webull: 09:35:20.300,Schwab: 1.5650; Webull: 1.5600,Schwab: native OCO stop; Webull: native OCO exit,Schwab: none; Webull: none
73,2026-09-01,SSM,Webull: 09:38:01.820,Webull,Webull: 314b2238-9b36-486b-b3e7-a7cb46890048,Webull: 3.9700,no,Webull: +1.7632,Webull: 0.940,Webull: -1.7632,Webull: 0.140,Webull: actual exit,Webull: 09:39:06.352,Webull: 4.0500,Webull: native OCO exit,Webull: none
74,2026-09-01,SSM,Webull: 10:43:50.477,Webull,Webull: bd015eaf-a532-4261-bd54-46fcbf6d34bf,Webull: 4.0587,no,Webull: +1.5103,Webull: 0.912,Webull: -1.1999,Webull: 0.001,Webull: actual exit,Webull: 10:44:48.723,Webull: 4.1400,Webull: native OCO exit,Webull: none
75,2026-09-01,BIAF,Schwab: 11:31:52.000; Webull: 11:31:52.587,Schwab+Webull,Schwab: 2caaa8ff-1037-48ba-b69d-2014bf0a1c5e; Webull: 03007233-4c5c-4983-90ce-cfe0873c0f74,Schwab: 6.5900; Webull: 6.5890,no,Schwab: -0.1517; Webull: -0.1366,Schwab: 0.011; Webull: 0.001,Schwab: -1.3657; Webull: -1.3507,Schwab: 0.011; Webull: 0.001,Schwab: actual exit; Webull: actual exit,Schwab: 11:33:19.000; Webull: 11:33:19.547,Schwab: 6.7100; Webull: 6.7200,Schwab: native OCO target; Webull: native OCO exit,Schwab: none; Webull: none
76,2026-09-01,FLYE,Schwab: 11:37:48.000,Schwab,Schwab: 4417fb8c-6cfa-4441-907c-e97dde3c7d52,Schwab: 1.8900,no,Schwab: +1.0582,Schwab: 28.023,Schwab: -2.6455,Schwab: 0.336,Schwab: actual exit,Schwab: 12:05:51.000,Schwab: 1.9200,Schwab: native OCO target,Schwab: none
77,2026-09-01,BIAF,Schwab: 12:39:31.000; Webull: 12:39:31.038,Schwab+Webull,Schwab: a9c411f5-2cee-452a-bcee-56515ce793f3; Webull: 1200da0f-445c-4af1-a59f-e56251abb875,Schwab: 6.5100; Webull: 6.5200,no,Schwab: +1.0753; Webull: +0.9202,Schwab: 2.770; Webull: 2.770,Schwab: -2.3041; Webull: -2.4540,Schwab: 0.165; Webull: 0.164,Schwab: actual exit; Webull: actual exit,Schwab: 12:48:04.000; Webull: 12:48:04.013,Schwab: 6.6500; Webull: 6.6500,Schwab: native OCO target; Webull: native OCO exit,Schwab: none; Webull: none
78,2026-09-01,RDAC,Webull: 13:47:01.611,Webull,Webull: 8dfa7875-0231-42d2-a211-d957cc5e1cf6,Webull: 6.5000,no,Webull: +0.9231,Webull: 0.142,Webull: -2.7692,Webull: 0.031,Webull: actual exit,Webull: 13:47:10.117,Webull: 6.6300,Webull: native OCO exit,Webull: none
79,2026-09-01,RDAC,Webull: 13:48:02.083,Webull,Webull: 0d9a9664-44fe-491a-8012-6b83d721cc8c,Webull: 6.4900,no,Webull: +0.4622,Webull: 0.088,Webull: -0.6163,Webull: 0.010,Webull: actual exit,Webull: 13:48:08.451,Webull: 6.6600,Webull: native OCO target,Webull: none
80,2026-09-01,FLYE,Schwab: 13:48:40.000,Schwab,Schwab: f3cbd6f9-147c-423d-985b-f46f7cc3331f,Schwab: 2.0400,no,Schwab: +0.9804,Schwab: 0.669,Schwab: -0.4902,Schwab: 0.015,Schwab: actual exit,Schwab: 13:49:29.000,Schwab: 2.0700,Schwab: native OCO target,Schwab: none
81,2026-09-01,BIAF,Schwab: 14:30:07.000,Schwab,Schwab: 7acde324-56c1-42df-b538-f0921301fd67,Schwab: 6.7650,no,Schwab: +1.1086,Schwab: 0.052,Schwab: -4.9520,Schwab: 12.272,Schwab: actual exit,Schwab: 15:07:07.000,Schwab: 6.8800,Schwab: native OCO target,Schwab: none
82,2026-09-01,FLYE,Schwab: 15:55:26.000,Schwab,Schwab: 3858ec9a-e8c5-4634-a426-1dc35262eaae,Schwab: 2.2100,no,Schwab: -0.4525,Schwab: 0.012,Schwab: -2.7149,Schwab: 4.423,Schwab: 16:00 cutoff,Schwab: 16:00:00.000,Schwab: 2.1600 mark,Schwab: still open at 16:00,Schwab: none
