session_day_et,split,symbol,buy_signal_ts,entry_ts,entry_px,never_touched_plus_1,bar_number,bar_start_ts,bar_close_ts,strategy_bar_available,post_fill_trade_prints,missing_state,close_vs_entry_pct,close_above_entry,traded_above_entry,bar_direction,running_low_pct,volume_ratio_20,macd_histogram,macd_histogram_pct,macd_histogram_direction,stochastic,rsi,dot_consensus,vwap,price_vs_vwap_pct,above_vwap,atr_trailing_stop,atr_stop_vs_price_pct,atr_stop_position
2026-08-31,holdout,YDDL,2026-08-31T12:12:00+00:00,2026-08-31T12:12:00.048820+00:00,2.39,False,3,2026-08-31T12:14:00+00:00,2026-08-31T12:15:00+00:00,True,163,,-1.673640167364021,False,False,down,-1.673640167364021,1.6611469144534534,0.00637498372919168,0.27127590336985874,falling,60.0,49.246765066822356,0,2.429435003627065,-3.269690422195748,False,2.2639011237435764,-3.6637819683584483,below
2026-08-31,holdout,YDDL,2026-08-31T12:12:00+00:00,2026-08-31T12:12:00.048820+00:00,2.39,False,4,2026-08-31T12:15:00+00:00,2026-08-31T12:16:00+00:00,True,81,,-2.092050209205032,False,False,down,-2.092050209205032,0.45053650065124357,0.0046162123908304094,0.19727403379617134,falling,49.99999999999978,47.44461061703281,0,2.4292314793620102,-3.6732390519426894,False,2.2639011237435764,-3.2520887289069877,below
2026-08-31,holdout,YDDL,2026-08-31T12:12:00+00:00,2026-08-31T12:12:00.048820+00:00,2.39,False,5,2026-08-31T12:16:00+00:00,2026-08-31T12:17:00+00:00,True,129,,-2.092050209205032,False,False,down,-2.5104602510460317,0.6733615221987315,0.0033399001758334813,0.14273077674502058,falling,28.57142857142848,47.44461061703281,0,2.428917381874272,-3.660782476086488,False,2.2639011237435764,-3.2520887289069877,below
2026-08-31,holdout,YDDL,2026-08-31T13:35:00+00:00,2026-08-31T13:35:00.171569+00:00,2.57,False,1,2026-08-31T13:35:00+00:00,2026-08-31T13:36:00+00:00,True,3634,,-4.280155642023342,False,True,down,-4.280155642023342,5.562708776191922,0.004579097020517439,0.18614215530558695,falling,46.031746031746046,51.69767775324561,3,2.4371348473378824,0.9381980930227796,True,2.246055753172574,-8.696920602740887,below
2026-08-31,holdout,YDDL,2026-08-31T13:35:00+00:00,2026-08-31T13:35:00.171569+00:00,2.57,False,2,2026-08-31T13:36:00+00:00,2026-08-31T13:37:00+00:00,True,1426,,-6.03112840466925,False,False,down,-9.338521400778198,1.8316976613990743,0.0003345542078359784,0.013853176307908006,falling,31.74603174603178,47.681868358098434,2,2.4361990521002346,-0.8701691301438941,False,2.246055753172574,-6.9956209866428924,below
2026-08-31,holdout,YDDL,2026-08-31T13:35:00+00:00,2026-08-31T13:35:00.171569+00:00,2.57,False,3,2026-08-31T13:37:00+00:00,2026-08-31T13:38:00+00:00,True,1051,,-4.6692607003890885,False,False,up,-9.338521400778198,1.3577626456932295,-0.00018434828686378357,-0.007524419871991166,falling,42.85714285714294,50.87795613937567,2,2.4363431735728045,0.560546091180103,True,2.246055753172574,-8.324254972547996,below
2026-08-31,holdout,YDDL,2026-08-31T13:35:00+00:00,2026-08-31T13:35:00.171569+00:00,2.57,False,4,2026-08-31T13:38:00+00:00,2026-08-31T13:39:00+00:00,True,961,,-3.8910505836575737,False,True,up,-9.338521400778198,1.239311602121866,0.0007022653280884354,0.028431794659450827,rising,49.206349206349294,52.65771957743653,3,2.437618654497746,1.3284007915884022,True,2.246055753172574,-9.066568697466638,below
2026-08-31,holdout,YDDL,2026-08-31T13:35:00+00:00,2026-08-31T13:35:00.171569+00:00,2.57,False,5,2026-08-31T13:39:00+00:00,2026-08-31T13:40:00+00:00,True,684,,-2.7237354085603016,False,False,up,-9.338521400778198,0.9588019225139987,0.0030599274938837157,0.12239709975534863,rising,58.73015873015876,55.27535236742226,3,2.438555238561426,2.5197198926205866,True,2.246055753172574,-10.157769873097033,below
2026-08-31,holdout,YDDL,2026-08-31T19:40:00+00:00,2026-08-31T19:40:00.885075+00:00,2.28,True,1,2026-08-31T19:40:00+00:00,2026-08-31T19:41:00+00:00,True,111,,-0.46491228070174584,False,True,down,-1.3157894736842035,2.766945062324254,0.004981747790957293,0.2195182775604694,rising,69.40000000000015,60.95785886041865,3,2.3503193908174147,-3.442910403307853,False,2.2027699067546385,-2.9360224396475565,below
2026-08-31,holdout,YDDL,2026-08-31T19:40:00+00:00,2026-08-31T19:40:00.885075+00:00,2.28,True,2,2026-08-31T19:41:00+00:00,2026-08-31T19:42:00+00:00,True,66,,0.0,False,True,up,-1.3157894736842035,1.0562886139206926,0.005487599604113145,0.24068419316285727,rising,79.99999999999991,64.01537741858269,3,2.350285106869485,-2.990492798684463,False,2.2027699067546385,-3.3872847914632187,below
